data,unidade_federativa,producao
fev/24,Tocantins,4201033.0
mar/24,Tocantins,4201033.0
abr/24,Tocantins,4201033.0
mai/24,Tocantins,4192090.0
jun/24,Tocantins,4252520.0
jul/24,Tocantins,4331560.0
ago/24,Tocantins,4350700.0
set/24,Tocantins,4322729.0
out/24,Tocantins,4317231.0
nov/24,Tocantins,4317231.0
dez/24,Tocantins,4382793.0
jan/24,Piaui,3764306.0
fev/24,Piaui,3764306.0
mar/24,Piaui,3780544.0
abr/24,Piaui,3780544.0
mai/24,Piaui,3823687.0
jun/24,Piaui,3823687.0
jul/24,Piaui,3823687.0
ago/24,Piaui,3811694.0
set/24,Piaui,3811694.0
out/24,Piaui,3811694.0
nov/24,Piaui,3811694.0
dez/24,Piaui,3811694.0
jan/24,Bahia,7119420.0
fev/24,Bahia,7353000.0
mar/24,Bahia,7353000.0
abr/24,Bahia,7532100.0
mai/24,Bahia,7532100.0
jun/24,Bahia,7532100.0
jul/24,Bahia,7532100.0
ago/24,Bahia,7532100.0
set/24,Bahia,7532100.0
out/24,Bahia,7532100.0
nov/24,Bahia,7532100.0
dez/24,Bahia,7532100.0
jan/24,Mato Grosso,39402311.0
fev/24,Mato Grosso,39402311.0
mar/24,Mato Grosso,37943187.0
abr/24,Mato Grosso,37943187.0
mai/24,Mato Grosso,39101841.0
jun/24,Mato Grosso,39101841.0
jul/24,Mato Grosso,39265336.0
ago/24,Mato Grosso,39265336.0
set/24,Mato Grosso,39138571.0
out/24,Mato Grosso,39138571.0
nov/24,Mato Grosso,39141176.0
dez/24,Mato Grosso,39141176.0
jan/25,Tocantins,4488954.0
fev/25,Tocantins,4472041.0
mar/25,Tocantins,4751670.0
abr/25,Tocantins,4597560.0
mai/25,Tocantins,4662425.0
jun/25,Tocantins,4709614.0
jan/25,Piaui,4049157.0
fev/25,Piaui,4049157.0
mar/25,Piaui,4051596.0
abr/25,Piaui,3559783.0
mai/25,Piaui,3587542.0
jun/25,Piaui,3587542.0
jan/25,Bahia,8333190.0
fev/25,Bahia,8333190.0
mar/25,Bahia,8333190.0
abr/25,Bahia,8606190.0
mai/25,Bahia,8606190.0
jun/25,Bahia,8606190.0
jan/25,Mato Grosso,45586022.0
fev/25,Mato Grosso,45586022.0
mar/25,Mato Grosso,48771277.0
abr/25,Mato Grosso,48771277.0
mai/25,Mato Grosso,50225291.0
jun/25,Mato Grosso,50225291.0
